REGIONAL;INSTITUICAO_PARCEIRA;INEP;ANO_ENSINO;TURNO;TURMA;CODIGO;RACA;SEXO;NEE;ANO_NASC
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-0 a 1 ano;INTEGRAL;BERCARIO  C; 183239256605;PARDA;MASCULINO;N;2024
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-0 a 1 ano;INTEGRAL;BERCARIO  A; 023709025609;BRANCA;FEMININO;N;2024
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-0 a 1 ano;INTEGRAL;BERCARIO  D; 207764610721;PARDA;FEMININO;N;2024
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-1 a 2 anos;INTEGRAL;1 ANO  A; 114881338542;BRANCA;MASCULINO;N;2023
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-1 a 2 anos;INTEGRAL;1 ANO  B; 104644641447;PRETA;FEMININO;N;2023
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-1 a 2 anos;INTEGRAL;1 ANO  B; 137553675021;PARDA;MASCULINO;N;2023
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-0 a 1 ano;INTEGRAL;BERCARIO  D; 190610942223;PARDA;MASCULINO;N;2024
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-1 a 2 anos;INTEGRAL;1 ANO  A; 131797565067;PARDA;MASCULINO;N;2023
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-1 a 2 anos;INTEGRAL;1 ANO  B; 088589922281;PARDA;MASCULINO;N;2023
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-0 a 1 ano;INTEGRAL;BERCARIO  A; 032109491683;BRANCA;MASCULINO;N;2025
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-0 a 1 ano;INTEGRAL;BERCARIO  B; 001812603812;PARDA;MASCULINO;N;2025
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-0 a 1 ano;INTEGRAL;BERCARIO  B; 185031522994;PARDA;MASCULINO;N;2024
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-1 a 2 anos;INTEGRAL;1 ANO  A; 078996305039;BRANCA;MASCULINO;N;2023
