"rede","idade","contagem_por_idade"
"REDE_PARCEIRA",0,"363"
"REDE_PARCEIRA",1,"3945"
"REDE_PARCEIRA",2,"6885"
"REDE_PARCEIRA",3,"7310"
"REDE_PARCEIRA",4,"6211"
"REDE_PARCEIRA",5,"3115"
"REDE_PARCEIRA",6,"1826"
"REDE_PROPRIA",0,"12"
"REDE_PROPRIA",1,"872"
"REDE_PROPRIA",2,"4283"
"REDE_PROPRIA",3,"7286"
"REDE_PROPRIA",4,"10576"
"REDE_PROPRIA",5,"14145"
"REDE_PROPRIA",6,"14969"
"REDE_PROPRIA",7,"12762"
"REDE_PROPRIA",8,"13114"
"REDE_PROPRIA",9,"13166"
"REDE_PROPRIA",10,"13609"
"REDE_PROPRIA",11,"12358"
"REDE_PROPRIA",12,"10045"
"REDE_PROPRIA",13,"10026"
"REDE_PROPRIA",14,"9384"
"REDE_PROPRIA",15,"5869"
"REDE_PROPRIA",16,"1689"
"REDE_PROPRIA",17,"683"
"REDE_PROPRIA",18,"313"
"REDE_PROPRIA",19,"127"
"REDE_PROPRIA",20,"84"
"REDE_PROPRIA",21,"66"
"REDE_PROPRIA",22,"71"
"REDE_PROPRIA",23,"61"
"REDE_PROPRIA",24,"56"
"REDE_PROPRIA",25,"30"
"REDE_PROPRIA",26,"57"
"REDE_PROPRIA",27,"29"
"REDE_PROPRIA",28,"54"
"REDE_PROPRIA",29,"45"
"REDE_PROPRIA",30,"53"
"REDE_PROPRIA",31,"62"
"REDE_PROPRIA",32,"62"
"REDE_PROPRIA",33,"61"
"REDE_PROPRIA",34,"55"
"REDE_PROPRIA",35,"62"
"REDE_PROPRIA",36,"48"
"REDE_PROPRIA",37,"50"
"REDE_PROPRIA",38,"70"
"REDE_PROPRIA",39,"73"
"REDE_PROPRIA",40,"58"
"REDE_PROPRIA",41,"71"
"REDE_PROPRIA",42,"72"
"REDE_PROPRIA",43,"76"
"REDE_PROPRIA",44,"81"
"REDE_PROPRIA",45,"94"
"REDE_PROPRIA",46,"107"
"REDE_PROPRIA",47,"100"
"REDE_PROPRIA",48,"101"
"REDE_PROPRIA",49,"98"
"REDE_PROPRIA",50,"118"
"REDE_PROPRIA",51,"96"
"REDE_PROPRIA",52,"120"
"REDE_PROPRIA",53,"103"
"REDE_PROPRIA",54,"103"
"REDE_PROPRIA",55,"101"
"REDE_PROPRIA",56,"123"
"REDE_PROPRIA",57,"102"
"REDE_PROPRIA",58,"108"
"REDE_PROPRIA",59,"107"
"REDE_PROPRIA",60,"95"
"REDE_PROPRIA",61,"104"
"REDE_PROPRIA",62,"93"
"REDE_PROPRIA",63,"111"
"REDE_PROPRIA",64,"98"
"REDE_PROPRIA",65,"105"
"REDE_PROPRIA",66,"110"
"REDE_PROPRIA",67,"86"
"REDE_PROPRIA",68,"86"
"REDE_PROPRIA",69,"95"
"REDE_PROPRIA",70,"74"
"REDE_PROPRIA",71,"70"
"REDE_PROPRIA",72,"82"
"REDE_PROPRIA",73,"67"
"REDE_PROPRIA",74,"64"
"REDE_PROPRIA",75,"60"
"REDE_PROPRIA",76,"32"
"REDE_PROPRIA",77,"49"
"REDE_PROPRIA",78,"46"
"REDE_PROPRIA",79,"39"
"REDE_PROPRIA",80,"21"
"REDE_PROPRIA",81,"26"
"REDE_PROPRIA",82,"25"
"REDE_PROPRIA",83,"19"
"REDE_PROPRIA",84,"17"
"REDE_PROPRIA",85,"13"
"REDE_PROPRIA",86,"9"
"REDE_PROPRIA",87,"17"
"REDE_PROPRIA",88,"5"
"REDE_PROPRIA",89,"7"
"REDE_PROPRIA",90,"5"
"REDE_PROPRIA",91,"8"
"REDE_PROPRIA",92,"4"
"REDE_PROPRIA",93,"3"
"REDE_PROPRIA",94,"4"
"REDE_PROPRIA",95,"5"
"REDE_PROPRIA",96,"1"
"REDE_PROPRIA",98,"3"
"REDE_PROPRIA",99,"1"
"REDE_PROPRIA",100,"1"
"REDE_PROPRIA",101,"1"
"REDE_PROPRIA",104,"1"
